year,id,prop_name,zip_code,primary_property_type,area,built_year,energy_star_score,electricity_use,nat_gas_use,lat,long
2020,252250,Argyle Apartments,60640,Multifamily Housing,65492,1951,53,968509.8,5458012.2,41.97338532,-87.65197698
2020,242935,The New York Private Residences,60613,Multifamily Housing,748762,1987,67,16990289.1,26078721.6,41.94952976,-87.64585718
2020,255009,The Hudson,60654,Multifamily Housing,385917,2017,59,10638185.8,6939454,41.89622411,-87.64008035
2020,243547,Admiral's Pointe Condominium Association,60654,Multifamily Housing,291682,2001,23,5047596.5,14493481.4,41.89320332,-87.64119962
2020,159529,700 N Michigan Ave LLC,60611,Retail Store,205137,2000,4,16000311.9,900600,41.89533925,-87.62493853
2020,255965,5430 N. Sheridan,60640,Multifamily Housing,82133,2008,59,1517835,3708784.8,41.96846,-87.65661
2020,105697,Dearborn Plaza,60610,Multifamily Housing,79152,1929,89,1353356.2,7395500.2,41.9037528,-87.63558845
2020,251595,Nixon -CPS,60639,K-12 School,130113,1896,40,2983524.5,7730230,41.91952065,-87.73118053
2020,175949,"Target, Bedford Park (0841)",60629,Retail Store,425352,1993,70,6597050.4,2418400,41.76424143,-87.74194078
2020,172379,Greek Islands (200 S Halsted),60661,Office,115232,1913,38,8407942.3,5928128.5,41.87880098,-87.64729762
2020,159156,One East Delaware,60611,Multifamily Housing,596499,1989,55,12138782.8,19527201,41.89877964,-87.6278525
2020,251517,Skinner North / Schiller Middle -CPS,60610,K-12 School,68922,1961,72,871625.7,3620700,41.905065,-87.644522
2020,254047,Sabina Senior Housing Corporation (St. Sabina Elders Village),60620,Multifamily Housing,86040,2000,38,1835819.8,4985198.6,41.73979805,-87.65349931
2020,172685,Washington Square-North and Cicero Development LLC,60639,Supermarket/Grocery Store,179477,2008,35,9747304.9,4150779.7,41.9083292,-87.74766344
2020,251241,212 East Condominium,60616,Multifamily Housing,181723,2003,97,2740381.9,4274849.5,41.85554,-87.621981
2020,173632,The Chicago Building,60602,Residence Hall/Dormitory,104965,1904,67,2554315,5914599.6,41.88201315,-87.62821922
2020,251576,"Henry Elementary, Patrick -CPS",60618,K-12 School,90100,1904,86,875946.2,3867689.9,41.95872281,-87.71583845
2020,241377,Wells Street Tower Condominium Association,60607,Multifamily Housing,365484,2002,24,9329868.5,16046290,41.87320687,-87.63328749
2020,251657,Locke Elementary -CPS,60634,K-12 School,112000,1927,38,3236081.2,5314830.2,41.9321161,-87.79631882
2020,159735,Sheridan Plaza Apartments,60640,Multifamily Housing,165792,1920,44,5621909.4,4990184,41.96573115,-87.65423709
2020,250088,Harry J. Schneider Apartments,60660,Multifamily Housing,111293,1977,50,2636312.6,8996829.8,41.99125997,-87.67384081
2020,251418,Hitch Elementary -CPS,60646,K-12 School,82050,1926,43,3045536.3,1574730,41.98409017,-87.7788465
2020,254009,Maple Court Apartments,60653,Multifamily Housing,50760,1915,23,421794.8,5861699.8,41.8202295,-87.61187
2020,256639,MRR 619 S LaSalle LLC,60605,Multifamily Housing,1217060,1909,67,2472731,3740693.2,41.86949,-87.625855
2020,251704,Armstrong Intl Studies Elementary -CPS,60645,K-12 School,147016,1911,30,4743412.3,7329630.4,42.01059222,-87.68459629
2020,251476,Jensen Scholastic Academy - CPS,60612,K-12 School,64440,1962,65,1242003.7,2721930.2,41.873768,-87.701596
2020,251665,"Hayt Elementary, Stephen K -CPS",60660,K-12 School,118800,1906,37,2936876.5,7051350,41.99475547,-87.66823796
2020,227382,Drake Tower Apartments,60611,Multifamily Housing,276310,1928,19,4439096.2,378585.6,41.90042814,-87.62262826
2020,251301,Lincoln Park Tower Condominium Association,60614,Multifamily Housing,413860,1967,36,7640222,26942598.3,41.91805785,-87.63701176
2020,251553,Sawyer Elementary -CPS,60632,K-12 School,163308,1901,53,4121541.1,6277370.4,41.79758019,-87.70526137
2020,128724,Broadview Hall,60637,Multifamily Housing,48700,1926,65,1723223.8,6083606.1,41.78046327,-87.6053081
2020,251535,U Of Chicago Charter- Donoghue -CPS,60653,K-12 School,74828,1963,33,1729414.2,5101539.8,41.82748182,-87.60830918
2020,250113,William Castleman Apartments,60640,Multifamily Housing,149600,1967,44,2461297.4,13822846.8,41.97298081,-87.65453676
2020,157348,Thomas F Flannery Apartments,60610,Multifamily Housing,99696,1965,80,1921672.5,9430782,41.90965061,-87.64658669
2020,100002,Clemente Community Academy HS -CPS,60622,K-12 School,354518,1974,18,23008936.8,1664640,41.90261979,-87.68613497
2020,250043,Fenger Achievement Academy -CPS,60628,K-12 School,341000,1926,79,4205664.3,18466879.4,41.68907836,-87.63835866
2020,100470,Lawson Partners,60654,Multifamily Housing,259349,1930,55,7114992.6,24162555.1,41.896703,-87.629373
2020,231205,Cornell Village,60615,Multifamily Housing,302000,1969,65,5142477.5,18769029.3,41.80086685,-87.58562562
2020,175679,240 N Ashland Ave,60607,Office,81887,1900,96,1381791.8,627500,41.88655482,-87.66760406
2020,243108,The 3600 Condominium Association,60613,Multifamily Housing,841880,1961,28,15136788.3,61291727.6,41.94896909,-87.64428388
2020,174228,Roscoe Square - Chicago,60618,Supermarket/Grocery Store,51298,1981,100,571099,3431968,41.94133511,-87.68998877
2020,254181,International House,60637,Residence Hall/Dormitory,237121,1932,83,3211777,192393,41.8842525,-87.63245
2020,251634,Calmeca Fine Arts -CPS,60632,K-12 School,108624,2010,56,2952168.9,3267080.1,41.82509374,-87.7114156
2020,256429,Carmen Hall,60616,Residence Hall/Dormitory,69559,1953,100,1253780.3,44470,41.842325,-87.62715344
2020,251628,Miles Davis Elementary -CPS,60636,K-12 School,104200,2008,37,3973488.5,2414640.1,41.77110031,-87.66677518
2020,250070,Bridgeport Homes,60608,Multifamily Housing,110616,1943,64,3164625.8,1791770,41.83657783,-87.64816386
2020,103705,The National,60603,Office,580000,1907,78,13408193.1,28858203.3,41.879992,-87.630764
2020,242635,R&D 659 CA,60661,Multifamily Housing,335000,2008,100,8769266.5,15670769.4,41.88401509,-87.64470335
2020,251760,"Walsh, John A -CPS",60608,K-12 School,73288,1992,35,2087219.7,3744980.1,41.85437796,-87.64784268
2020,174126,Pete's 118th,60617,Supermarket/Grocery Store,94000,1980,19,9625002.8,7587758,41.68095,-87.535552
2020,251409,Dewey Academy Of Fine Arts -CPS,60609,K-12 School,71361,1896,41,2166784.1,3042700.1,41.796083,-87.642718
2020,251406,John Whistler Elementary -CPS,60643,K-12 School,88230,1958,65,923085.2,5742310.4,41.684683,-87.655468
2020,160349,AMLI Lofts,60605,Multifamily Housing,243432,2014,93,4767307.9,4509465.7,41.89817078,-87.63173366
2020,156543,Mentor Building,60603,Multifamily Housing,72150,1903,5,3203400.4,3714530.4,41.88156186,-87.62774159
2020,238910,Lake Point Tower,60611,Multifamily Housing,1705000,1968,46,58039418.1,21158460.8,41.89150137,-87.61230249
2020,250080,Albany Terrace Apts,60623,Multifamily Housing,262612,1974,86,4098996.6,14917360,41.85331733,-87.70144548
2020,251281,40 E Oak St,60611,Multifamily Housing,154113,1928,41,2790319.4,15197446,41.90102328,-87.62678724
2020,244503,5000 East End Condominium Association,60615,Multifamily Housing,260297,1928,67,2633310,18140642.2,41.80422316,-87.58577365
2020,103614,Ann & Robert H. Lurie Children's Hospital of Chicago,60611,Hospital (General Medical & Surgical),1287909,2012,73,114113847.1,169769568,41.896764,-87.621559
2020,175475,333 S Ashland Ave,60607,Office,68150,1930,63,1163445.7,4503996.7,41.877185,-87.666647
2020,161872,Parkside Elementary Academy -CPS,60649,K-12 School,75104,1917,45,921647.6,6175489.8,41.7689093,-87.5833058
2020,251584,"Deneen Elementary, Charles S -CPS",60619,K-12 School,87736,1955,49,1810909.3,4915950.1,41.76239877,-87.62373586
2020,251581,Avalon Park Elementary -CPS,60619,K-12 School,87101,1915,44,1867824,5197999.8,41.74849276,-87.59132698
2020,251240,5757 N Sheridan CA,60660,Multifamily Housing,224173,1962,38,1401175.4,21940190,41.98719804,-87.65477168
2020,160279,Millennium Park Plaza,60601,Multifamily Housing,663464,1982,2,42877203.4,22289746.4,41.88468249,-87.62412202
2020,243913,990 North Lake Shore Drive,60611,Multifamily Housing,331127,1973,12,12722641.7,9720149.5,41.90026302,-87.61990168
2020,250105,Mary Jane Richardson-Jones Apts,60615,Multifamily Housing,149900,1968,56,3610404.8,6847050.5,41.80520171,-87.60925164
2020,172703,Rickover Academy,60634,K-12 School,117000,2019,96,1047104.9,3995489.7,41.95739087,-87.77067574
2020,159424,"Second Prairie Shores, LLC",60616,Multifamily Housing,289267,1960,15,5323789.4,33899955.9,41.84050662,-87.61620503
2020,254371,Park Boulevard IIB,60609,Multifamily Housing,101475,2015,99,957396.9,3190747.3,41.80852134,-87.66802475
2020,251755,Rogers Elementary -CPS,60645,K-12 School,59810,1937,49,1153628.3,3581650.3,42.01509489,-87.69644878
2020,251906,Sabin Magnet CPS,60622,K-12 School,95219,1915,52,1933222.5,5070759.8,41.90740406,-87.68287819
2020,251762,Schubert -CPS,60639,K-12 School,101364,1930,66,1313378.2,5845590.2,41.93000505,-87.76055407
2020,254068,Union Lofts Condominium Association,60609,Multifamily Housing,80000,1926,15,2828786.9,5392688.9,41.8117692,-87.65514
2020,255028,1001 South State,60605,Multifamily Housing,601577,2016,70,14639070.2,12670024.8,41.869863,-87.62736512
2020,173642,230 E Ohio St,60611,Office,75340,1917,51,3122768.3,3129505.4,41.89260773,-87.62161072
2020,251367,Norwood Park Elementary -CPS,60631,K-12 School,56330,1916,21,2557332.6,1620079.8,41.98925073,-87.80266407
2020,173970,"Jewel Osco, 03092-95th & Stony Island",60617,Supermarket/Grocery Store,72651,1999,63,9307503.1,6516500.1,41.7202896,-87.58289821
2020,112515,1237 W Fullerton Ave,60614,Multifamily Housing,245068,2006,64,7875594.9,12177871,41.92521317,-87.65992953
2020,117188,Ruth Shriman House,60613,Multifamily Housing,67988,1999,79,760335,4831639.1,41.95402016,-87.6620278
2020,102587,Carver Millitary Academy -CPS,60827,K-12 School,298689,1955,45,9330412,11850289.4,41.657559,-87.592115
2020,250112,William C Jones Apts,60608,Multifamily Housing,65291,1962,50,1375725.2,7626540,41.86192401,-87.66583933
2020,256655,The Oliver on LaSalle,60610,Multifamily Housing,91427,1924,100,1930816.7,3312877.4,41.90423,-87.638225
2020,251250,Lincoln Park Villas,60614,Multifamily Housing,82955,1974,47,3297762.7,927811.8,41.91720134,-87.63571887
2020,136487,Friend Family Health Center at University of Chicago,60615,Medical Office,73327,1963,19,3561794.3,9301542.2,41.79554344,-87.60569126
